m F
18.066309 -6.045213
18.256244 -6.2000202
18.448175 -6.3581158
18.642124 -6.5195609
18.838112 -6.6844177
19.03616 -6.8527493
19.236291 -7.0246201
19.438525 -7.2000954
19.642886 -7.3792418
19.849395 -7.5621271
20.058075 -7.7488201
20.268949 -7.9393908
20.48204 -8.1339106
20.697372 -8.332452
20.914967 -8.5350887
21.134849 -8.7418959
21.357044 -8.9529498
21.581574 -9.1683281
21.808465 -9.3881099
22.037741 -9.6123755
22.269428 -9.8412066
22.50355 -10.074687
22.740134 -10.3129
22.979205 -10.555932
23.22079 -10.803872
23.464914 -11.056807
23.711605 -11.314829
23.960889 -11.57803
24.212794 -11.846503
24.467348 -12.120344
24.724577 -12.399649
24.984511 -12.684517
25.247177 -12.975049
25.512606 -13.271347
25.780824 -13.573514
26.051862 -13.881656
26.32575 -14.19588
26.602517 -14.516296
26.882194 -14.843014
27.164812 -15.176147
27.4504 -15.515811
27.738991 -15.862122
28.030616 -16.215199
28.325307 -16.575162
28.623096 -16.942136
28.924015 -17.316244
29.228099 -17.697614
29.535379 -18.086375
29.84589 -18.482658
30.159665 -18.886598
30.476738 -19.298331
30.797146 -19.717994
31.120922 -20.145728
31.448101 -20.581677
31.778721 -21.025986
32.112816 -21.478803
32.450424 -21.940278
32.791581 -22.410564
33.136325 -22.889817
33.484693 -23.378195
33.836723 -23.875859
34.192455 -24.382973
34.551926 -24.899702
34.915176 -25.426217
35.282246 -25.962689
35.653174 -26.509294
36.028002 -27.066209
36.406771 -27.633614
36.789522 -28.211695
37.176297 -28.800638
37.567138 -29.400633
37.962088 -30.011874
38.36119 -30.634558
38.764488 -31.268884
39.172026 -31.915056
39.583848 -32.57328
40 -33.243768
