t x y z hx hy rx ry rz dx dy rzrel acc
8.55 1.0740285 0 0 1 0 2.2740285 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.74585309
8.6 1.1130514 0 0 1 0 2.3130514 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.77295231
8.65 1.1501422 0 0 1 0 2.3501422 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.7987098
8.7 1.1852365 0 0 1 0 2.3852365 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.82308083
8.75 1.2182734 0 0 1 0 2.4182734 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.84602311
8.8 1.2491955 0 0 1 0 2.4491955 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.86749682
8.85 1.2779492 0 0 1 0 2.4779492 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.88746467
8.9 1.3044846 0 0 1 0 2.5044846 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.90589201
8.95 1.3287555 0 0 1 0 2.5287555 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.92274685
9 1.35072 0 0 1 0 2.55072 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.93799992
9.05 1.3703397 0 0 1 0 2.5703397 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.95162476
9.1 1.3875808 0 0 1 0 2.5875808 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.96359772
9.15 1.4024132 0 0 1 0 2.6024132 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.973898
9.2 1.4148112 0 0 1 0 2.6148112 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.98250773
9.25 1.4247533 0 0 1 0 2.6247533 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.98941197
9.3 1.4322222 0 0 1 0 2.6322222 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99459872
9.35 1.437205 0 0 1 0 2.637205 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99805899
9.4 1.439693 0 0 1 0 2.639693 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99978677
9.45 1.4396819 0 0 1 0 2.6396819 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99977906
9.5 1.4371717 0 0 1 0 2.6371717 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99803588
9.55 1.4321668 0 0 1 0 2.6321668 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99456024
9.6 1.4246759 0 0 1 0 2.6246759 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.98935819
9.65 1.4147119 0 0 1 0 2.6147119 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.98243875
9.7 1.4022921 0 0 1 0 2.6022921 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.97381393
9.75 1.3874382 0 0 1 0 2.5874382 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.96349871
9.8 1.3701759 0 0 1 0 2.5701759 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.95151099
9.85 1.3505352 0 0 1 0 2.5505352 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.93787158
9.9 1.3285501 0 0 1 0 2.5285501 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.92260416
9.95 1.3042588 0 0 1 0 2.5042588 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.90573522
10 1.2777035 0 0 1 0 2.4777035 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.88729406
10.05 1.2489303 0 0 1 0 2.4489303 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.86731267
10.1 1.2179892 0 0 1 0 2.4179892 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.84582576
10.15 1.1849337 0 0 1 0 2.3849337 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.82287061
10.2 1.1498214 0 0 1 0 2.3498214 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.79848707
10.25 1.1127132 0 0 1 0 2.3127132 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.77271746
10.3 1.0736735 0 0 1 0 2.2736735 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.74560653
10.35 1.03277 0 0 1 0 2.23277 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.71720134
10.4 0.99007375 0 0 1 0 2.1900737 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.68755118
10.45 0.94565889 0 0 1 0 2.1456589 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.65670752
10.5 0.89960249 0 0 1 0 2.0996025 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.62472392
10.55 0.85198452 0 0 1 0 2.0519845 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.59165588
10.6 0.80288761 0 0 1 0 2.0028876 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.55756081
10.65 0.75239701 0 0 1 0 1.952397 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.52249789
10.7 0.70060035 0 0 1 0 1.9006003 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.48652799
10.75 0.64758754 0 0 1 0 1.8475875 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.44971355
10.8 0.59345062 0 0 1 0 1.7934506 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.41211846
10.85 0.53828355 0 0 1 0 1.7382835 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.373808
10.9 0.48218209 0 0 1 0 1.6821821 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.33484865
10.95 0.42524363 0 0 1 0 1.6252436 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.29530806
11 0.36756701 0 0 1 0 1.567567 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.25525485
11.05 0.30925234 0 0 1 0 1.5092523 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.21475856
11.1 0.25040086 0 0 1 0 1.4504009 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.17388948
11.15 0.19111471 0 0 1 0 1.3911147 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.13271854
11.2 0.13149682 0 0 1 0 1.3314968 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.091317233
11.25 0.071650665 0 0 1 0 1.2716507 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.049757403
11.3 0.011680135 0 0 1 0 1.2116801 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.0081112048
11.35 -0.048310669 0 0 1 0 1.1516893 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.033549076
11.4 -0.10821761 0 0 1 0 1.0917824 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.075151114
11.45 -0.16793671 0 0 1 0 1.0320633 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.11662271
11.5 -0.22736429 0 0 1 0 0.97263571 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.15789186
