m F0 F1 F2 M0 M1 M2
20.220769 2.2326277 1.1356759 -0.50975172 0.58949717 0.59384689 0.60037147
20.343319 2.2127669 1.1058277 -0.55458101 0.58949717 0.59384689 0.60037147
20.46587 2.1926048 1.0756481 -0.59978689 0.58949717 0.59384689 0.60037147
20.58842 2.1721423 1.0451381 -0.64536825 0.58949717 0.59384689 0.60037147
20.71097 2.1513803 1.0142986 -0.69132396 0.58949717 0.59384689 0.60037147
20.83352 2.1303198 0.98313069 -0.73765291 0.58949717 0.59384689 0.60037147
20.95607 2.1089615 0.95163529 -0.784354 0.58949717 0.59384689 0.60037147
21.07862 2.0873064 0.91981336 -0.83142614 0.58949717 0.59384689 0.60037147
21.20117 2.0653553 0.88766586 -0.87886826 0.58949717 0.59384689 0.60037147
21.32372 2.0431091 0.85519372 -0.92667928 0.58949717 0.59384689 0.60037147
21.446271 2.0205686 0.82239788 -0.97485814 0.58949717 0.59384689 0.60037147
21.568821 1.9977346 0.78927928 -1.0234038 0.58949717 0.59384689 0.60037147
21.691371 1.9746081 0.75583881 -1.0723152 0.58949717 0.59384689 0.60037147
21.813921 1.9511899 0.7220774 -1.1215913 0.58949717 0.59384689 0.60037147
21.936471 1.9274806 0.68799595 -1.1712311 0.58949717 0.59384689 0.60037147
22.059021 1.9034813 0.65359536 -1.2212335 0.58949717 0.59384689 0.60037147
22.181571 1.8791926 0.6188765 -1.2715976 0.58949717 0.59384689 0.60037147
22.304121 1.8546154 0.58384027 -1.3223224 0.58949717 0.59384689 0.60037147
22.426671 1.8297504 0.54848753 -1.3734068 0.58949717 0.59384689 0.60037147
22.549222 1.8045985 0.51281915 -1.4248499 0.58949717 0.59384689 0.60037147
22.671772 1.7791605 0.47683599 -1.4766507 0.58949717 0.59384689 0.60037147
22.794322 1.753437 0.44053891 -1.5288083 0.58949717 0.59384689 0.60037147
22.916872 1.727429 0.40392874 -1.5813216 0.58949717 0.59384689 0.60037147
23.039422 1.7011371 0.36700632 -1.6341898 0.58949717 0.59384689 0.60037147
23.161972 1.674562 0.3297725 -1.6874118 0.58949717 0.59384689 0.60037147
23.284522 1.6477047 0.29222808 -1.7409868 0.58949717 0.59384689 0.60037147
23.407072 1.6205657 0.25437389 -1.7949138 0.58949717 0.59384689 0.60037147
23.529623 1.5931458 0.21621075 -1.8491918 0.58949717 0.59384689 0.60037147
23.652173 1.5654458 0.17773945 -1.9038201 0.58949717 0.59384689 0.60037147
23.774723 1.5374664 0.1389608 -1.9587976 0.58949717 0.59384689 0.60037147
23.897273 1.5092083 0.099875591 -2.0141235 0.58949717 0.59384689 0.60037147
24.019823 1.4806722 0.060484608 -2.0697968 0.58949717 0.59384689 0.60037147
24.142373 1.4518589 0.020788633 -2.1258167 0.58949717 0.59384689 0.60037147
24.264923 1.422769 -0.019211559 -2.1821824 0.58949717 0.59384689 0.60037147
24.387473 1.3934032 -0.059515198 -2.2388928 0.58949717 0.59384689 0.60037147
24.510023 1.3637623 -0.10012152 -2.2959472 0.58949717 0.59384689 0.60037147
24.632574 1.3338469 -0.14102977 -2.3533448 0.58949717 0.59384689 0.60037147
24.755124 1.3036577 -0.1822392 -2.4110845 0.58949717 0.59384689 0.60037147
24.877674 1.2731954 -0.22374905 -2.4691657 0.58949717 0.59384689 0.60037147
25.000224 1.2424606 -0.26555859 -2.5275874 0.58949717 0.59384689 0.60037147
25.122774 1.2114541 -0.30766708 -2.5863488 0.58949717 0.59384689 0.60037147
25.245324 1.1801764 -0.35007379 -2.6454491 0.58949717 0.59384689 0.60037147
25.367874 1.1486283 -0.392778 -2.7048875 0.58949717 0.59384689 0.60037147
25.490424 1.1168104 -0.43577899 -2.7646631 0.58949717 0.59384689 0.60037147
25.612975 1.0847234 -0.47907604 -2.8247752 0.58949717 0.59384689 0.60037147
25.735525 1.0523678 -0.52266845 -2.8852228 0.58949717 0.59384689 0.60037147
25.858075 1.0197444 -0.5665555 -2.9460054 0.58949717 0.59384689 0.60037147
25.980625 0.98685376 -0.61073651 -3.0071219 0.58949717 0.59384689 0.60037147
26.103175 0.95369652 -0.65521077 -3.0685717 0.58949717 0.59384689 0.60037147
26.225725 0.92027331 -0.6999776 -3.130354 0.58949717 0.59384689 0.60037147
26.348275 0.88658475 -0.74503632 -3.1924679 0.58949717 0.59384689 0.60037147
26.470825 0.85263147 -0.79038624 -3.2549128 0.58949717 0.59384689 0.60037147
26.593375 0.81841406 -0.83602668 -3.3176878 0.58949717 0.59384689 0.60037147
26.715926 0.78393315 -0.88195699 -3.3807922 0.58949717 0.59384689 0.60037147
26.838476 0.74918933 -0.92817649 -3.4442252 0.58949717 0.59384689 0.60037147
26.961026 0.71418321 -0.97468452 -3.5079861 0.58949717 0.59384689 0.60037147
27.083576 0.67891539 -1.0214804 -3.5720741 0.58949717 0.59384689 0.60037147
27.206126 0.64338645 -1.0685636 -3.6364886 0.58949717 0.59384689 0.60037147
27.328676 0.60759699 -1.1159333 -3.7012286 0.58949717 0.59384689 0.60037147
27.451226 0.57154759 -1.1635889 -3.7662936 0.58949717 0.59384689 0.60037147
27.573776 0.53523884 -1.2115298 -3.8316828 0.58949717 0.59384689 0.60037147
27.696327 0.4986713 -1.2597554 -3.8973955 0.58949717 0.59384689 0.60037147
27.818877 0.46184556 -1.308265 -3.9634309 0.58949717 0.59384689 0.60037147
27.941427 0.42476217 -1.3570581 -4.0297884 0.58949717 0.59384689 0.60037147
28.063977 0.38742172 -1.4061339 -4.0964672 0.58949717 0.59384689 0.60037147
28.186527 0.34982475 -1.4554918 -4.1634667 0.58949717 0.59384689 0.60037147
28.309077 0.31197183 -1.5051313 -4.2307861 0.58949717 0.59384689 0.60037147
28.431627 0.27386352 -1.5550518 -4.2984247 0.58949717 0.59384689 0.60037147
28.554177 0.23550035 -1.6052526 -4.3663819 0.58949717 0.59384689 0.60037147
28.676727 0.19688289 -1.6557331 -4.434657 0.58949717 0.59384689 0.60037147
28.799278 0.15801167 -1.7064927 -4.5032493 0.58949717 0.59384689 0.60037147
28.921828 0.11888724 -1.7575309 -4.5721581 0.58949717 0.59384689 0.60037147
29.044378 0.079510126 -1.808847 -4.6413827 0.58949717 0.59384689 0.60037147
29.166928 0.03988087 -1.8604405 -4.7109225 0.58949717 0.59384689 0.60037147
29.289478 0 -1.9123108 -4.7807769 0.58949717 0.59384689 0.60037147
