t x y z hx hy rx ry rz dx dy rzrel acc
2.85 0 0 -3.0051561e-06 1 0 1.2 3.4593664e-18 1.3975241 1.2 3.4593664e-18 -2.9791562e-06 0.001
2.9 0 0 -3.2663145e-06 1 0 1.2 3.4593664e-18 1.3975238 1.2 3.4593664e-18 -3.2403146e-06 0.001
2.95 0 0 -3.5501682e-06 1 0 1.2 3.4593664e-18 1.3975235 1.2 3.4593664e-18 -3.5241683e-06 0.001
3 0 0 -3.8586895e-06 1 0 1.2 3.4593664e-18 1.3975232 1.2 3.4593664e-18 -3.8326896e-06 0.001
3.05 0 0 -4.1940221e-06 1 0 1.2 3.4593664e-18 1.3975229 1.2 3.4593664e-18 -4.1680223e-06 0.001
3.1 0 0 -4.5584959e-06 1 0 1.2 3.4593664e-18 1.3975225 1.2 3.4593664e-18 -4.5324961e-06 0.001
3.15 0 0 -4.9546433e-06 1 0 1.2 3.4593664e-18 1.3975221 1.2 3.4593664e-18 -4.9286435e-06 0.001
3.2 0 0 -5.3852168e-06 1 0 1.2 3.4593664e-18 1.3975217 1.2 3.4593664e-18 -5.3592169e-06 0.001
3.25 0 0 -5.8532078e-06 1 0 1.2 3.4593664e-18 1.3975212 1.2 3.4593664e-18 -5.8272079e-06 0.001
3.3 0 0 -6.3618681e-06 1 0 1.2 3.4593664e-18 1.3975207 1.2 3.4593664e-18 -6.3358682e-06 0.001
3.35 0 0 -6.9147317e-06 1 0 1.2 3.4593664e-18 1.3975201 1.2 3.4593664e-18 -6.8887318e-06 0.001
3.4 0 0 -7.5156398e-06 1 0 1.2 3.4593664e-18 1.3975195 1.2 3.4593664e-18 -7.48964e-06 0.001
3.45 0 0 -8.1687675e-06 1 0 1.2 3.4593664e-18 1.3975189 1.2 3.4593664e-18 -8.1427676e-06 0.001
3.5 0 0 -8.8786525e-06 1 0 1.2 3.4593664e-18 1.3975182 1.2 3.4593664e-18 -8.8526526e-06 0.001
3.55 0 0 -9.6502268e-06 1 0 1.2 3.4593664e-18 1.3975174 1.2 3.4593664e-18 -9.6242269e-06 0.001
3.6 0 0 -1.0488851e-05 1 0 1.2 3.4593664e-18 1.3975166 1.2 3.4593664e-18 -1.0462851e-05 0.001
3.65 0 0 -1.1400352e-05 1 0 1.2 3.4593664e-18 1.3975157 1.2 3.4593664e-18 -1.1374352e-05 0.001
3.7 0 0 -1.2391061e-05 1 0 1.2 3.4593664e-18 1.3975147 1.2 3.4593664e-18 -1.2365061e-05 0.001
3.75 0 0 -1.3467862e-05 1 0 1.2 3.4593664e-18 1.3975136 1.2 3.4593664e-18 -1.3441862e-05 0.001
3.8 0 0 -1.4638236e-05 1 0 1.2 3.4593664e-18 1.3975124 1.2 3.4593664e-18 -1.4612236e-05 0.001
3.85 0 0 -1.5910313e-05 1 0 1.2 3.4593664e-18 1.3975111 1.2 3.4593664e-18 -1.5884313e-05 0.001
3.9 0 0 -1.729293e-05 1 0 1.2 3.4593664e-18 1.3975098 1.2 3.4593664e-18 -1.726693e-05 0.001
3.95 0 0 -1.8795693e-05 1 0 1.2 3.4593664e-18 1.3975083 1.2 3.4593664e-18 -1.8769693e-05 0.001
4 0 0 -2.0429041e-05 1 0 1.2 3.4593664e-18 1.3975066 1.2 3.4593664e-18 -2.0403041e-05 0.001
4.05 0 0 -2.220432e-05 1 0 1.2 3.4593664e-18 1.3975049 1.2 3.4593664e-18 -2.217832e-05 0.001
4.1 0 0 -2.4133862e-05 1 0 1.2 3.4593664e-18 1.3975029 1.2 3.4593664e-18 -2.4107862e-05 0.001
4.15 0 0 -2.623107e-05 1 0 1.2 3.4593664e-18 1.3975008 1.2 3.4593664e-18 -2.620507e-05 0.001
4.2 0 0 -2.8510511e-05 1 0 1.2 3.4593664e-18 1.3974985 1.2 3.4593664e-18 -2.8484511e-05 0.001
4.25 0 0 -3.098802e-05 1 0 1.2 3.4593664e-18 1.3974961 1.2 3.4593664e-18 -3.096202e-05 0.001
4.3 0 0 -3.3680802e-05 1 0 1.2 3.4593664e-18 1.3974934 1.2 3.4593664e-18 -3.3654803e-05 0.001
4.35 0 0 -3.6607562e-05 1 0 1.2 3.4593664e-18 1.3974905 1.2 3.4593664e-18 -3.6581563e-05 0.001
4.4 0 0 -3.9788627e-05 1 0 1.2 3.4593664e-18 1.3974873 1.2 3.4593664e-18 -3.9762627e-05 0.001
4.45 0 0 -4.3246087e-05 1 0 1.2 3.4593664e-18 1.3974838 1.2 3.4593664e-18 -4.3220087e-05 0.001
4.5 0 0 -4.7003954e-05 1 0 1.2 3.4593664e-18 1.3974801 1.2 3.4593664e-18 -4.6977955e-05 0.001
4.55 0 0 -5.1088325e-05 1 0 1.2 3.4593664e-18 1.397476 1.2 3.4593664e-18 -5.1062325e-05 0.001
4.6 0 0 -5.5527559e-05 1 0 1.2 3.4593664e-18 1.3974715 1.2 3.4593664e-18 -5.5501559e-05 0.001
4.65 0 0 -6.0352482e-05 1 0 1.2 3.4593664e-18 1.3974667 1.2 3.4593664e-18 -6.0326482e-05 0.001
4.7 0 0 -6.5596592e-05 1 0 1.2 3.4593664e-18 1.3974615 1.2 3.4593664e-18 -6.5570592e-05 0.001
4.75 0 0 -7.1296299e-05 1 0 1.2 3.4593664e-18 1.3974558 1.2 3.4593664e-18 -7.1270299e-05 0.001
4.8 0 0 -7.7491169e-05 1 0 1.2 3.4593664e-18 1.3974496 1.2 3.4593664e-18 -7.7465169e-05 0.001
4.85 0 0 -8.4224205e-05 1 0 1.2 3.4593664e-18 1.3974428 1.2 3.4593664e-18 -8.4198205e-05 0.001
4.9 0 0 -9.154214e-05 1 0 1.2 3.4593664e-18 1.3974355 1.2 3.4593664e-18 -9.151614e-05 0.001
4.95 0 0 -9.9495764e-05 1 0 1.2 3.4593664e-18 1.3974276 1.2 3.4593664e-18 -9.9469764e-05 0.001
5 0 0 -0.00010814027 1 0 1.2 3.4593664e-18 1.3974189 1.2 3.4593664e-18 -0.00010811427 0.001
5.05 0 0 -0.00011753564 1 0 1.2 3.4593664e-18 1.3974095 1.2 3.4593664e-18 -0.00011750964 0.001
5.1 0 0 -0.00012774707 1 0 1.2 3.4593664e-18 1.3973993 1.2 3.4593664e-18 -0.00012772107 0.001
5.15 0 0 -0.00013884538 1 0 1.2 3.4593664e-18 1.3973882 1.2 3.4593664e-18 -0.00013881938 0.001
5.2 0 0 -0.00015090756 1 0 1.2 3.4593664e-18 1.3973762 1.2 3.4593664e-18 -0.00015088156 0.001
5.25 0 0 -0.00016401726 1 0 1.2 3.4593664e-18 1.397363 1.2 3.4593664e-18 -0.00016399126 0.001
5.3 0 0 -0.00017826537 1 0 1.2 3.4593664e-18 1.3973488 1.2 3.4593664e-18 -0.00017823937 0.001
5.35 0 0 -0.00019375069 1 0 1.2 3.4593664e-18 1.3973333 1.2 3.4593664e-18 -0.00019372469 0.001
5.4 0 0 -0.00021058053 1 0 1.2 3.4593664e-18 1.3973165 1.2 3.4593664e-18 -0.00021055453 0.001
5.45 0 0 -0.00022887152 1 0 1.2 3.4593664e-18 1.3972982 1.2 3.4593664e-18 -0.00022884552 0.001
5.5 0 0 -0.00024875039 1 0 1.2 3.4593664e-18 1.3972783 1.2 3.4593664e-18 -0.00024872439 0.001
5.55 0 0 -0.00027035482 1 0 1.2 3.4593664e-18 1.3972567 1.2 3.4593664e-18 -0.00027032882 0.001
5.6 0 0 -0.0002938344 1 0 1.2 3.4593664e-18 1.3972332 1.2 3.4593664e-18 -0.0002938084 0.001
5.65 0 0 -0.00031935168 1 0 1.2 3.4593664e-18 1.3972077 1.2 3.4593664e-18 -0.00031932568 0.001
5.7 0 0 -0.00034708323 1 0 1.2 3.4593664e-18 1.39718 1.2 3.4593664e-18 -0.00034705723 0.001
5.75 0 0 -0.00037722088 1 0 1.2 3.4593664e-18 1.3971498 1.2 3.4593664e-18 -0.00037719488 0.0010452024
5.8 0 0 -0.00040997304 1 0 1.2 3.4593664e-18 1.3971171 1.2 3.4593664e-18 -0.00040994704 0.0011357038
5.85 0 0 -0.00044556608 1 0 1.2 3.4593664e-18 1.3970815 1.2 3.4593664e-18 -0.00044554008 0.0012340098
5.9 0 0 -0.00048424591 1 0 1.2 3.4593664e-18 1.3970428 1.2 3.4593664e-18 -0.00048421991 0.0013407884
5.95 0 0 -0.00052627962 1 0 1.2 3.4593664e-18 1.3970008 1.2 3.4593664e-18 -0.00052625362 0.0014567627
6 0 0 -0.00057195732 1 0 1.2 3.4593664e-18 1.3969551 1.2 3.4593664e-18 -0.00057193132 0.0015827177
6.05 0 0 -0.00062159407 1 0 1.2 3.4593664e-18 1.3969055 1.2 3.4593664e-18 -0.00062156807 0.0017195021
6.1 0 0 -0.00067553202 1 0 1.2 3.4593664e-18 1.3968515 1.2 3.4593664e-18 -0.00067550602 0.0018680359
6.15 0 0 -0.00073414271 1 0 1.2 3.4593664e-18 1.3967929 1.2 3.4593664e-18 -0.00073411671 0.0020293156
6.2 0 0 -0.00079782957 1 0 1.2 3.4593664e-18 1.3967292 1.2 3.4593664e-18 -0.00079780357 0.00220442
6.25 0 0 -0.0008670306 1 0 1.2 3.4593664e-18 1.39666 1.2 3.4593664e-18 -0.0008670046 0.0023945155
6.3 0 0 -0.0009422213 1 0 1.2 3.4593664e-18 1.3965848 1.2 3.4593664e-18 -0.0009421953 0.0026008649
6.35 0 0 -0.0010239178 1 0 1.2 3.4593664e-18 1.3965031 1.2 3.4593664e-18 -0.0010238918 0.0028248315
6.4 0 0 -0.0011126804 1 0 1.2 3.4593664e-18 1.3964144 1.2 3.4593664e-18 -0.0011126544 0.0030678904
6.45 0 0 -0.001209117 1 0 1.2 3.4593664e-18 1.3963179 1.2 3.4593664e-18 -0.001209091 0.0033316345
6.5 0 0 -0.0013138874 1 0 1.2 3.4593664e-18 1.3962132 1.2 3.4593664e-18 -0.0013138614 0.0036177816
6.55 0 0 -0.0014277073 1 0 1.2 3.4593664e-18 1.3960994 1.2 3.4593664e-18 -0.0014276813 0.0039281871
6.6 0 0 -0.0015513531 1 0 1.2 3.4593664e-18 1.3959757 1.2 3.4593664e-18 -0.0015513271 0.0042648489
6.65 0 0 -0.0016856669 1 0 1.2 3.4593664e-18 1.3958414 1.2 3.4593664e-18 -0.0016856409 0.0046299207
6.7 0 0 -0.001831562 1 0 1.2 3.4593664e-18 1.3956955 1.2 3.4593664e-18 -0.001831536 0.0050257194
6.75 0 0 -0.0019900282 1 0 1.2 3.4593664e-18 1.395537 1.2 3.4593664e-18 -0.0019900022 0.0054547364
6.8 0 0 -0.0021621388 1 0 1.2 3.4593664e-18 1.3953649 1.2 3.4593664e-18 -0.0021621128 0.0059196483
6.85 0 0 -0.0023490566 1 0 1.2 3.4593664e-18 1.395178 1.2 3.4593664e-18 -0.0023490306 0.0064233276
6.9 0 0 -0.0025520414 1 0 1.2 3.4593664e-18 1.394975 1.2 3.4593664e-18 -0.0025520154 0.0069688515
6.95 0 0 -0.0027724577 1 0 1.2 3.4593664e-18 1.3947546 1.2 3.4593664e-18 -0.0027724317 0.0075595146
7 0 0 -0.0030117829 1 0 1.2 3.4593664e-18 1.3945153 1.2 3.4593664e-18 -0.0030117569 0.0081988365
7.05 0 0 -0.0032716162 1 0 1.2 3.4593664e-18 1.3942554 1.2 3.4593664e-18 -0.0032715902 0.0088905727
7.1 0 0 -0.0035536876 1 0 1.2 3.4593664e-18 1.3939734 1.2 3.4593664e-18 -0.0035536616 0.0096387232
7.15 0 0 -0.0038598684 1 0 1.2 3.4593664e-18 1.3936672 1.2 3.4593664e-18 -0.0038598424 0.010447537
7.2 0 0 -0.0041921817 1 0 1.2 3.4593664e-18 1.3933349 1.2 3.4593664e-18 -0.0041921557 0.011321521
