m F
4.6219093 -1.0670651e-05
4.6222434 -1.1508154e-05
4.6225776 -1.2355106e-05
4.6229117 -1.3211507e-05
4.6232458 -1.4077358e-05
4.62358 -1.4952658e-05
4.6239141 -1.5837407e-05
4.6242482 -1.6731603e-05
4.6245823 -1.7635248e-05
4.6249165 -1.854834e-05
4.6252506 -1.947088e-05
4.6255847 -2.0402867e-05
4.6259189 -2.13443e-05
4.626253 -2.229518e-05
4.6265871 -2.3255506e-05
4.6269212 -2.4225277e-05
4.6272554 -2.5204494e-05
4.6275895 -2.6193156e-05
4.6279236 -2.7191263e-05
4.6282578 -2.8198814e-05
4.6285919 -2.921581e-05
4.628926 -3.0242249e-05
4.6292601 -3.1278131e-05
4.6295943 -3.2323457e-05
4.6299284 -3.3378225e-05
4.6302625 -3.4442436e-05
4.6305967 -3.5516089e-05
4.6309308 -3.6599184e-05
4.6312649 -3.769172e-05
4.631599 -3.8793698e-05
4.6319332 -3.9905116e-05
4.6322673 -4.1025975e-05
4.6326014 -4.2156274e-05
4.6329356 -4.3296013e-05
4.6332697 -4.4445192e-05
4.6336038 -4.560381e-05
4.6339379 -4.6771867e-05
4.6342721 -4.7949362e-05
4.6346062 -4.9136296e-05
4.6349403 -5.0332668e-05
4.6352745 -5.1538477e-05
4.6356086 -5.2753724e-05
4.6359427 -5.3978408e-05
4.6362768 -5.5212528e-05
4.636611 -5.6456085e-05
4.6369451 -5.7709077e-05
4.6372792 -5.8971506e-05
4.6376134 -6.0243369e-05
4.6379475 -6.1524668e-05
4.6382816 -6.2815402e-05
4.6386158 -6.411557e-05
4.6389499 -6.5425172e-05
4.639284 -6.6744208e-05
4.6396181 -6.8072677e-05
4.6399523 -6.941058e-05
4.6402864 -7.0757915e-05
4.6406205 -7.2114683e-05
4.6409547 -7.3480883e-05
4.6412888 -7.4856514e-05
4.6416229 -7.6241578e-05
4.641957 -7.7636072e-05
4.6422912 -7.9039997e-05
4.6426253 -8.0453353e-05
4.6429594 -8.1876139e-05
4.6432936 -8.3308356e-05
4.6436277 -8.4750001e-05
4.6439618 -8.6201076e-05
4.6442959 -8.766158e-05
4.6446301 -8.9131512e-05
4.6449642 -9.0610873e-05
4.6452983 -9.2099662e-05
4.6456325 -9.3597878e-05
4.6459666 -9.5105522e-05
4.6463007 -9.6622593e-05
4.6466348 -9.814909e-05
4.646969 -9.9685014e-05
4.6473031 -0.00010123036
4.6476372 -0.00010278514
4.6479714 -0.00010434934
4.6483055 -0.00010592297
4.6486396 -0.00010750602
4.6489737 -0.00010909849
4.6493079 -0.00011070039
4.649642 -0.00011231172
4.6499761 -0.00011393246
4.6503103 -0.00011556263
4.6506444 -0.00011720222
4.6509785 -0.00011885124
4.6513126 -0.00012050968
4.6516468 -0.00012217754
4.6519809 -0.00012385482
4.652315 -0.00012554152
4.6526492 -0.00012723764
4.6529833 -0.00012894319
4.6533174 -0.00013065815
4.6536516 -0.00013238253
4.6539857 -0.00013411634
4.6543198 -0.00013585956
4.6546539 -0.0001376122
4.6549881 -0.00013937426
4.6553222 -0.00014114574
4.6556563 -0.00014292664
4.6559905 -0.00014471695
4.6563246 -0.00014651668
4.6566587 -0.00014832583
4.6569928 -0.0001501444
4.657327 -0.00015197238
4.6576611 -0.00015380978
4.6579952 -0.00015565659
4.6583294 -0.00015751282
4.6586635 -0.00015937847
4.6589976 -0.00016125353
4.6593317 -0.000163138
4.6596659 -0.00016503189
4.66 -0.00016693519
