x p0 p1 p2 p3 p4
2.5230932 0.78834888 0.98822615 1.1058886 1.2370908 1.3832736
2.5671549 0.78429225 0.98743012 1.1073967 1.2414584 1.3911487
2.6119862 0.78019969 0.98656462 1.1088294 1.2457559 1.3989744
2.6576004 0.77607329 0.98563142 1.110188 1.2499842 1.4067513
2.7040111 0.77191508 0.98463222 1.1114739 1.2541444 1.4144803
2.7512324 0.76772704 0.98356873 1.1126884 1.2582375 1.4221621
2.7992782 0.76351108 0.9824426 1.113833 1.2622646 1.4297974
2.8481632 0.75926906 0.98125545 1.114909 1.2662266 1.4373868
2.8979018 0.7550028 0.98000887 1.1159177 1.2701244 1.4449311
2.948509 0.75071404 0.97870444 1.1168603 1.2739592 1.4524309
3 0.74640449 0.97734368 1.1177383 1.2777318 1.459887
3.0523902 0.74207579 0.9759281 1.1185527 1.2814433 1.4673001
3.1056953 0.73772954 0.97445916 1.1193049 1.2850944 1.4746707
3.1599313 0.73336731 0.97293831 1.119996 1.2886862 1.4819995
3.2151145 0.72899059 0.97136696 1.1206273 1.2922196 1.4892873
3.2712613 0.72460085 0.96974651 1.1211999 1.2956954 1.4965346
3.3283887 0.72019948 0.9680783 1.121715 1.2991145 1.5037421
3.3865137 0.71578788 0.96636366 1.1221737 1.3024779 1.5109104
3.4456537 0.71136736 0.96460391 1.1225771 1.3057864 1.5180402
3.5058266 0.7069392 0.96280032 1.1229263 1.3090407 1.5251321
3.5670502 0.70250466 0.96095413 1.1232225 1.3122419 1.5321867
3.6293431 0.69806493 0.95906658 1.1234666 1.3153907 1.5392046
3.6927237 0.69362118 0.95713885 1.1236597 1.3184878 1.5461863
3.7572113 0.68917454 0.95517214 1.1238029 1.3215342 1.5531326
3.822825 0.6847261 0.95316758 1.1238971 1.3245306 1.560044
3.8895845 0.6802769 0.95112631 1.1239434 1.3274778 1.566921
3.9575099 0.67582798 0.94904943 1.1239427 1.3303765 1.5737643
4.0266215 0.67138032 0.94693801 1.1238959 1.3332276 1.5805744
4.09694 0.66693486 0.94479311 1.123804 1.3360318 1.5873519
4.1684865 0.66249253 0.94261578 1.123668 1.3387897 1.5940974
4.2412824 0.65805422 0.94040701 1.1234887 1.3415023 1.6008113
4.3153497 0.65362078 0.9381678 1.1232671 1.34417 1.6074943
4.3907104 0.64919304 0.93589913 1.123004 1.3467938 1.6141468
4.4673871 0.64477179 0.93360193 1.1227002 1.3493742 1.6207695
4.5454029 0.64035781 0.93127714 1.1223567 1.3519119 1.6273627
4.6247811 0.63595184 0.92892567 1.1219742 1.3544077 1.6339272
4.7055455 0.63155459 0.9265484 1.1215537 1.3568622 1.6404633
4.7877203 0.62716675 0.92414621 1.1210957 1.359276 1.6469716
4.8713302 0.62278898 0.92171994 1.1206013 1.3616499 1.6534526
4.9564002 0.61842193 0.91927042 1.1200711 1.3639844 1.6599068
5.0429558 0.6140662 0.91679848 1.1195059 1.3662802 1.6663346
5.131023 0.6097224 0.91430489 1.1189064 1.3685378 1.6727366
5.2206281 0.60539107 0.91179045 1.1182735 1.370758 1.6791133
5.3117981 0.60107278 0.90925592 1.1176077 1.3729413 1.685465
5.4045601 0.59676805 0.90670203 1.1169099 1.3750882 1.6917924
5.4989421 0.59247738 0.90412951 1.1161806 1.3771995 1.6980958
5.5949724 0.58820125 0.90153907 1.1154207 1.3792756 1.7043757
5.6926796 0.58394012 0.89893142 1.1146307 1.3813171 1.7106326
5.7920932 0.57969445 0.89630722 1.1138113 1.3833247 1.7168669
5.8932428 0.57546465 0.89366714 1.1129632 1.3852987 1.723079
5.9961589 0.57125114 0.89101184 1.112087 1.3872399 1.7292695
6.1008723 0.56705429 0.88834194 1.1111834 1.3891486 1.7354387
6.2074142 0.5628745 0.88565806 1.1102528 1.3910255 1.741587
6.3158168 0.5587121 0.88296081 1.109296 1.392871 1.7477149
6.4261125 0.55456744 0.88025078 1.1083135 1.3946857 1.7538228
6.5383343 0.55044085 0.87752855 1.107306 1.39647 1.7599111
6.6525158 0.54633263 0.87479468 1.1062739 1.3982245 1.7659803
6.7686914 0.54224308 0.87204972 1.1052178 1.3999497 1.7720306
6.8868958 0.53817248 0.86929422 1.1041383 1.4016459 1.7780626
7.0071644 0.53412108 0.86652869 1.1030359 1.4033138 1.7840765
7.1295333 0.53008916 0.86375366 1.1019111 1.4049537 1.7900729
7.2540393 0.52607694 0.86096962 1.1007645 1.4065661 1.796052
7.3807195 0.52208464 0.85817706 1.0995966 1.4081515 1.8020143
7.5096119 0.5181125 0.85537647 1.0984078 1.4097103 1.8079602
7.6407553 0.5141607 0.8525683 1.0971986 1.4112429 1.8138899
7.7741889 0.51022944 0.84975302 1.0959696 1.4127498 1.819804
7.9099527 0.50631889 0.84693106 1.0947212 1.4142314 1.8257026
8.0480874 0.50242923 0.84410287 1.0934538 1.4156881 1.8315862
8.1886344 0.49856062 0.84126887 1.092168 1.4171203 1.8374552
8.3316358 0.49471319 0.83842947 1.0908641 1.4185284 1.8433099
8.4771345 0.4908871 0.83558507 1.0895426 1.4199129 1.8491506
8.6251741 0.48708246 0.83273607 1.0882039 1.421274 1.8549777
8.775799 0.48329939 0.82988286 1.0868484 1.4226123 1.8607915
8.9290543 0.47953801 0.8270258 1.0854766 1.423928 1.8665923
9.084986 0.47579842 0.82416527 1.0840889 1.4252215 1.8723805
9.2436408 0.47208071 0.82130161 1.0826856 1.4264933 1.8781564
9.4050662 0.46838496 0.81843519 1.0812671 1.4277436 1.8839203
9.5693106 0.46471125 0.81556633 1.0798338 1.4289729 1.8896726
9.7364234 0.46105965 0.81269537 1.0783862 1.4301814 1.8954134
9.9064545 0.45743022 0.80982263 1.0769245 1.4313695 1.9011433
10.079455 0.45382302 0.80694843 1.0754491 1.4325376 1.9068623
10.255476 0.45023809 0.80407307 1.0739603 1.433686 1.912571
10.434572 0.44667547 0.80119685 1.0724586 1.4348149 1.9182695
10.616795 0.44313519 0.79832007 1.0709442 1.4359249 1.9239581
10.8022 0.4396173 0.795443 1.0694175 1.437016 1.9296372
10.990844 0.43612179 0.79256592 1.0678789 1.4380888 1.935307
11.182781 0.43264871 0.78968911 1.0663285 1.4391433 1.9409677
11.378071 0.42919804 0.78681282 1.0647668 1.4401801 1.9466198
11.57677 0.4257698 0.78393732 1.063194 1.4411993 1.9522634
11.77894 0.42236399 0.78106284 1.0616105 1.4422013 1.9578989
11.984641 0.4189806 0.77818964 1.0600166 1.4431864 1.9635265
12.193933 0.41561962 0.77531795 1.0584124 1.4441547 1.9691464
12.406881 0.41228104 0.772448 1.0567984 1.4451067 1.974759
12.623547 0.40896484 0.76958002 1.0551748 1.4460426 1.9803644
12.843997 0.40567098 0.76671421 1.0535418 1.4469626 1.985963
13.068297 0.40239946 0.76385081 1.0518998 1.447867 1.991555
13.296514 0.39915022 0.76099 1.050249 1.4487561 1.9971406
13.528716 0.39592324 0.758132 1.0485897 1.4496301 2.0027201
13.764974 0.39271847 0.75527699 1.046922 1.4504894 2.0082938
14.005357 0.38953587 0.75242518 1.0452464 1.451334 2.0138618
14.249938 0.3863754 0.74957673 1.0435629 1.4521643 2.0194245
14.498791 0.383237 0.74673184 1.0418718 1.4529806 2.024982
14.751989 0.38012062 0.74389068 1.0401735 1.453783 2.0305346
15.009609 0.3770262 0.74105342 1.038468 1.4545718 2.0360825
15.271728 0.37395368 0.73822022 1.0367556 1.4553471 2.041626
15.538424 0.370903 0.73539125 1.0350366 1.4561094 2.0471652
15.809778 0.36787409 0.73256666 1.0333111 1.4568587 2.0527004
16.08587 0.36486689 0.7297466 1.0315794 1.4575952 2.0582318
16.366784 0.36188131 0.72693123 1.0298417 1.4583193 2.0637596
16.652604 0.3589173 0.72412067 1.0280981 1.459031 2.0692841
16.943415 0.35597477 0.72131508 1.0263489 1.4597307 2.0748054
17.239305 0.35305365 0.71851459 1.0245943 1.4604185 2.0803238
17.540362 0.35015385 0.71571932 1.0228344 1.4610946 2.0858394
17.846676 0.34727529 0.71292941 1.0210695 1.4617591 2.0913524
18.15834 0.34441789 0.71014498 1.0192997 1.4624124 2.0968632
18.475446 0.34158156 0.70736615 1.0175252 1.4630546 2.1023717
18.79809 0.33876621 0.70459303 1.0157462 1.4636859 2.1078784
19.126369 0.33597176 0.70182574 1.0139628 1.4643064 2.1133833
19.460381 0.33319811 0.69906439 1.0121753 1.4649164 2.1188866
19.800225 0.33044518 0.69630907 1.0103837 1.465516 2.1243886
20.146004 0.32771285 0.6935599 1.0085883 1.4661053 2.1298893
20.497822 0.32500105 0.69081697 1.0067892 1.4666847 2.1353891
20.855784 0.32230966 0.68808039 1.0049865 1.4672542 2.140888
21.219997 0.31963861 0.68535023 1.0031805 1.467814 2.1463863
21.59057 0.31698777 0.68262659 1.0013712 1.4683642 2.1518842
21.967615 0.31435706 0.67990956 0.9995588 1.4689051 2.1573817
22.351244 0.31174637 0.67719923 0.99774347 1.4694368 2.1628792
22.741573 0.3091556 0.67449566 0.99592532 1.4699594 2.1683767
23.138718 0.30658465 0.67179895 0.9941045 1.4704731 2.1738744
23.542799 0.3040334 0.66910916 0.99228114 1.4709781 2.1793725
23.953936 0.30150176 0.66642638 0.99045537 1.4714744 2.1848712
24.372254 0.29898962 0.66375066 0.98862732 1.4719623 2.1903706
24.797876 0.29649687 0.66108209 0.98679711 1.4724419 2.1958709
25.230932 0.2940234 0.65842072 0.98496487 1.4729133 2.2013722
25.671549 0.2915691 0.65576661 0.98313072 1.4733767 2.2068747
26.119862 0.28913388 0.65311984 0.98129478 1.4738322 2.2123786
26.576004 0.28671761 0.65048045 0.97945716 1.4742799 2.217884
27.040111 0.28432018 0.6478485 0.97761797 1.4747199 2.2233911
27.512324 0.2819415 0.64522406 0.97577734 1.4751525 2.2289
27.992782 0.27958143 0.64260716 0.97393536 1.4755777 2.2344109
28.481632 0.27723989 0.63999786 0.97209215 1.4759956 2.2399238
28.979018 0.27491674 0.63739621 0.9702478 1.4764064 2.245439
29.48509 0.27261188 0.63480225 0.96840243 1.4768102 2.2509567
30 0.2703252 0.63221604 0.96655612 1.4772071 2.2564768
30.523902 0.26805659 0.6296376 0.96470898 1.4775972 2.2619997
31.056953 0.26580593 0.62706698 0.9628611 1.4779807 2.2675253
31.599313 0.26357311 0.62450422 0.96101258 1.4783576 2.273054
32.151145 0.26135802 0.62194936 0.95916351 1.4787281 2.2785857
32.712613 0.25916054 0.61940243 0.95731398 1.4790922 2.2841206
33.283887 0.25698057 0.61686347 0.95546407 1.4794502 2.289659
33.865137 0.25481798 0.6143325 0.95361388 1.479802 2.2952008
34.456537 0.25267267 0.61180956 0.95176348 1.4801478 2.3007462
35.058266 0.25054451 0.60929467 0.94991296 1.4804877 2.3062954
35.670502 0.24843341 0.60678787 0.9480624 1.4808218 2.3118484
