t hx hy rawx rawy govx govy vehx vehy draw dgov dveh elag clear
2.08 1.4210207 0 0.64080739 0.91173858 2.2410479 1.1678557 2.2330102 1.225141 1.2043673 1.4306755 1.4742178 1.6227958 1.0256914
2.12 1.4124653 0 0.53068229 0.81391571 2.1965212 1.2078121 2.1853817 1.2651641 1.2043673 1.4436255 1.4870374 1.7151717 1.0308526
2.16 1.4023406 0 0.43982646 0.71663557 2.1495574 1.2445968 2.135713 1.3004153 1.2043673 1.4552852 1.4974639 1.7936042 1.0330097
2.2 1.3906579 0 0.36562379 0.62394316 2.1001926 1.2781822 2.0842757 1.3309324 1.2043673 1.4654999 1.5054008 1.8584445 1.0322701
2.24 1.3774302 0 0.30502084 0.53845909 2.0484346 1.3085626 2.0312429 1.3568455 1.2043673 1.4741383 1.5108005 1.9104587 1.0286869
2.28 1.3626721 0 0.25499547 0.46157602 1.9942779 1.335742 1.9766965 1.3783496 1.2043673 1.4810919 1.5136592 1.9506459 1.0223037
2.32 1.3464001 0 0.21283801 0.39374728 1.9377158 1.3597255 1.9206456 1.3956798 1.2043673 1.4862733 1.5140124 1.9801024 1.0132129
2.36 1.3286323 0 0.17627699 0.33477947 1.878747 1.380514 1.8630501 1.4090901 1.2043673 1.4896126 1.5119298 1.9999285 1.0015925
2.4 1.3093883 0 0.14349901 0.28408128 1.8173788 1.398102 1.803843 1.418837 1.2043673 1.4910548 1.5075101 2.0111721 0.98770596
2.44 1.2886896 0 0.11310882 0.2408524 1.7536273 1.4124776 1.7429472 1.4251683 1.2043673 1.4905572 1.5008741 2.0147966 0.97187434
2.48 1.2665591 0 0.084063283 0.20421464 1.6875166 1.423623 1.6802862 1.4283146 1.2043673 1.4880889 1.4921586 2.0116649 0.95443746
2.52 1.2430215 0 0.055600518 0.17329581 1.6190776 1.431516 1.6157881 1.4284843 1.2043673 1.4836297 1.4815089 2.0025338 0.93571969
2.56 1.2181029 0 0.027175047 0.14727847 1.5483466 1.4361308 1.5493865 1.4258595 1.2043673 1.4771707 1.4690727 1.9880534 0.91600743
2.6 1.1918309 0 -0.0015963837 0.12542449 1.4753647 1.437439 1.481018 1.4205933 1.2043673 1.4687148 1.4549954 1.9687706 0.89553919
2.64 1.1642348 0 -0.030977716 0.10708403 1.4001769 1.4354106 1.4106215 1.4128073 1.2043673 1.4582774 1.4394164 1.9451357 0.87450515
2.68 1.1353453 0 -0.061146279 0.091695109 1.3228315 1.4300141 1.3381365 1.4025902 1.2043673 1.445888 1.422467 1.9175096 0.85305259
2.72 1.1051943 0 -0.092217071 0.078777865 1.2433806 1.4212191 1.2635041 1.3899971 1.2043673 1.4315935 1.4042706 1.8861726 0.83128337
2.76 1.0738155 0 -0.12426046 0.067926335 1.1619031 1.409256 1.186677 1.3750631 1.2043673 1.4157212 1.384963 1.8513505 0.80763357
