t x y z hx hy rx ry rz dx dy rzrel acc
2.4 -0.59925144 1.3093883 -0.029389263 -0.90929743 -0.41614684 -1.6904084 0.81001209 1.3681378 -1.0911569 -0.4993762 -0.029389263 2.9170672
2.45 -0.6532734 1.2832903 -0.044550326 -0.89117379 -0.45366208 -1.7226819 0.73889575 1.3529767 -1.0694085 -0.5443945 -0.044550326 4.1658151
2.5 -0.70616136 1.2549646 -0.05 -0.87150319 -0.49038983 -1.7519652 0.6664968 1.3475271 -1.0458038 -0.5884678 -0.05 4.6281198
2.55 -0.75782352 1.2244605 -0.044550326 -0.85031979 -0.52626633 -1.7782073 0.5929409 1.3529767 -1.0203837 -0.6315196 -0.044550326 4.1658151
2.6 -0.80817021 1.1918309 -0.029389263 -0.82766035 -0.56122931 -1.8013626 0.51835573 1.3681378 -0.99319242 -0.67347518 -0.029389263 2.9170672
2.65 -0.85711403 1.1571325 -0.0078217233 -0.80356421 -0.59521808 -1.8213911 0.44287077 1.3897053 -0.96427705 -0.71426169 -0.0078217233 1.475517
2.7 -0.90457002 1.1204254 0.01545085 -0.7780732 -0.62817362 -1.8382579 0.36661706 1.4129779 -0.93368784 -0.75380835 0.01545085 1.8915652
2.75 -0.9504558 1.0817734 0.035355339 -0.75123156 -0.66003875 -1.8519337 0.28972694 1.4328824 -0.90147787 -0.7920465 0.035355339 3.3995542
2.8 -0.99469172 1.0412437 0.047552826 -0.72308588 -0.69075814 -1.8623948 0.2123339 1.4450799 -0.86770306 -0.82890977 0.047552826 4.4199455
2.85 -1.037201 0.99890645 0.049384417 -0.69368503 -0.72027847 -1.869623 0.13457228 1.4469115 -0.83242204 -0.86433417 0.049384417 4.5756734
2.9 -1.0779098 0.95483526 0.04045085 -0.66308004 -0.7485485 -1.8736059 0.05657706 1.4379779 -0.79569605 -0.8982582 0.04045085 3.8216039
2.95 -1.1167476 0.90910661 0.022699525 -0.63132404 -0.77551915 -1.8743364 -0.02151637 1.4202266 -0.75758885 -0.93062299 0.022699525 2.3999838
