re im
0.0023017336 -0.84258789
0.0020465079 -0.82586851
0.0018175423 -0.80933974
0.0016122749 -0.79299407
0.0014283907 -0.77682444
0.0012637968 -0.76082417
0.0011166001 -0.74498691
0.0009850877 -0.72930667
0.00086770941 -0.71377775
0.0007630619 -0.6983947
0.00066987464 -0.68315234
0.00058699729 -0.66804573
0.00051338833 -0.65307012
0.00044810485 -0.63822097
0.00039029333 -0.62349393
0.00033918136 -0.60888481
0.00029407013 -0.59438957
0.00025432767 -0.58000433
0.00021938269 -0.56572535
0.00018871905 -0.551549
0.00016187073 -0.53747179
0.00013841723 -0.5234903
0.00011797945 -0.50960127
0.00010021591 -0.49580149
8.4819301e-05 -0.48208786
7.1513401e-05 -0.46845738
6.0050196e-05 -0.45490709
5.0207307e-05 -0.44143413
4.1785628e-05 -0.42803573
3.4607168e-05 -0.41470914
2.8513089e-05 -0.40145172
2.3361909e-05 -0.38826084
1.9027869e-05 -0.37513397
1.5399431e-05 -0.3620686
1.2377917e-05 -0.34906229
9.8762553e-06 -0.33611263
7.8178423e-06 -0.32321727
6.1354987e-06 -0.31037389
4.7705158e-06 -0.2975802
3.6717854e-06 -0.28483397
2.7950034e-06 -0.27213298
2.1019429e-06 -0.25947505
1.5597904e-06 -0.24685805
1.1405404e-06 -0.23427984
8.2044215e-07 -0.22173835
5.7949657e-07 -0.20923149
4.0099752e-07 -0.19675722
2.7111488e-07 -0.18431353
1.7851601e-07 -0.17189841
1.1402261e-07 -0.15950986
7.0300525e-08 -0.14714594
4.1580094e-08 -0.13480467
2.3404821e-08 -0.12248413
1.2406628e-08 -0.11018239
6.1058929e-09 -0.097897537
2.7347964e-09 -0.085627668
1.0826509e-09 -0.073370891
3.6204439e-10 -0.06112532
9.4793506e-11 -0.048889077
1.6855406e-11 -0.03666029
1.4788171e-12 -0.024437091
2.3314684e-14 -0.012217615
0 0
