t x y z hx hy rx ry rz dx dy rzrel acc
3.9 -0.15580099 0 0 -0.99996763 0.0080456534 -1.3557622 0.0096547841 1.3975271 -1.1999612 0.0096547841 0 0.11665416
3.95 -0.21529629 0 0 -0.99996548 0.0083083862 -1.4152549 0.0099700635 1.3975271 -1.1999586 0.0099700635 0 0.15698615
4 -0.27441787 0 0 -0.99996243 0.0086682383 -1.4743728 0.010401886 1.3975271 -1.1999549 0.010401886 0 0.19799278
4.05 -0.33306309 0 0 -0.99995826 0.0091362967 -1.533013 0.010963556 1.3975271 -1.1999499 0.010963556 0 0.23931244
4.1 -0.39113016 0 0 -0.99995269 0.0097273126 -1.5910734 0.011672775 1.3975271 -1.1999432 0.011672775 0 0.28084163
4.15 -0.44851829 0 0 -0.99994529 0.010460411 -1.6484526 0.012552493 1.3975271 -1.1999343 0.012552493 0 0.32261278
4.2 -0.50512785 0 0 -0.99993547 0.011360028 -1.7050504 0.013632034 1.3975271 -1.1999226 0.013632034 0 0.36477491
4.25 -0.56086058 0 0 -0.99992241 0.012457129 -1.7607675 0.014948555 1.3975271 -1.1999069 0.014948555 0 0.40761477
4.3 -0.61561973 0 0 -0.9999049 0.013790786 -1.8155056 0.016548943 1.3975271 -1.1998859 0.016548943 0 0.45160632
4.35 -0.66931025 0 0 -0.99988126 0.015410207 -1.8691678 0.018492248 1.3975271 -1.1998575 0.018492248 0 0.49749037
4.4 -0.72183895 0 0 -0.999849 0.017377335 -1.9216578 0.020852802 1.3975271 -1.1998188 0.020852802 0 0.54639159
4.45 -0.77311463 0 0 -0.99980455 0.019770179 -1.9728801 0.023724214 1.3975271 -1.1997655 0.023724214 0 0.59998183
4.5 -0.8230483 0 0 -0.99974262 0.022687064 -2.0227394 0.027224476 1.3975271 -1.1996911 0.027224476 0 0.66069642
4.55 -0.87155327 0 0 -0.99965536 0.026252045 -2.0711397 0.031502454 1.3975271 -1.1995864 0.031502454 0 0.73200105
4.6 -0.91854534 0 0 -0.99953104 0.030621771 -2.1179826 0.036746125 1.3975271 -1.1994373 0.036746125 0 0.81869072
4.65 -0.96394295 0 0 -0.999352 0.035994144 -2.1631654 0.043192972 1.3975271 -1.1992224 0.043192972 0 0.92718204
4.7 -1.0076673 0 0 -0.99909139 0.042619148 -2.206577 0.051142978 1.3975271 -1.1989097 0.051142978 0 1.0657493
4.75 -1.0496425 0 0 -0.99870822 0.050812246 -2.2480923 0.060974695 1.3975271 -1.1984499 0.060974695 0 1.2446687
